Date,Amount,Currency,Description,Category,Sub Category,Paid By
30/12/2022,41.00,GBP,Tesco,Food & Drinks,Grocery,
30/12/2022,44.00,GBP,Exotic,Food & Drinks,Grocery,
30/12/2022,3.00,GBP,SPAR,Food & Drinks,Grocery,
01/01/2023,10.00,GBP,Sweet ,Food & Drinks,Take aways,
01/01/2023,11.00,GBP,Exotic,Food & Drinks,Grocery,
02/01/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
03/01/2023,38.00,GBP,Thames Water,Utility,Water,
03/01/2023,100.00,GBP,India A/C,Saving,Saving,
03/01/2023,100.00,GBP,Parents,Allowance,Allowance_Parent,
03/01/2023,6.00,GBP,SPAR,Food & Drinks,Grocery,
05/01/2023,8.60,GBP,Bus,Transportation,Transport_Local,
05/01/2023,4.50,GBP,SPAR,Food & Drinks,Grocery,
06/01/2023,1200.00,GBP,Rent'Jan,Housing,Rent,
07/01/2023,17.00,GBP,Bus,Transportation,Transport_Local,
07/01/2023,4.30,GBP,Bus,Transportation,Transport_Local,
07/01/2023,6.30,GBP,Tariq Meat,Food & Drinks,Grocery,
07/01/2023,21.00,GBP,Exotic,Food & Drinks,Grocery,
07/01/2023,8.00,GBP,Tesco,Housing,Household Product,
07/01/2023,7.00,GBP,Tesco,Other,Miscellaneous,
07/01/2023,41.00,GBP,Tesco,Food & Drinks,Grocery,
08/01/2023,3.40,GBP,SPAR,Food & Drinks,Grocery,
09/01/2023,17.00,GBP,SKY Digital,Utility,TV & Broadband,
09/01/2023,9.00,GBP,EE,Utility,Phone Bill,
10/01/2023,2.00,GBP,Bus,Transportation,Transport_Local,
11/01/2023,7.00,GBP,Food at office,Food & Drinks,Eating out,
11/01/2023,6.70,GBP,SPAR,Food & Drinks,Grocery,
12/01/2023,22.00,GBP,SKY TV,Utility,TV & Broadband,
13/01/2023,20.00,GBP,reading fish,Food & Drinks,Grocery,
13/01/2023,23.00,GBP,Tesco,Food & Drinks,Grocery,
13/01/2023,3.50,GBP,Tesco,Housing,Household Product,
13/01/2023,11.00,GBP,chaipani,Food & Drinks,Eating out,
13/01/2023,5.50,GBP,office,Food & Drinks,Eating out,
13/01/2023,1.70,GBP,Tariq Meat,Food & Drinks,Grocery,
13/01/2023,21.00,GBP,Exotic,Food & Drinks,Grocery,
14/01/2023,4.30,GBP,Bus,Transportation,Transport_Office,
14/01/2023,11.62,GBP,Sweet ,Food & Drinks,Take aways,
14/01/2023,2.00,GBP,Exotic,Food & Drinks,Grocery,
14/01/2023,4.00,GBP,primark,Personal care,Clothing(Other),
14/01/2023,8.00,GBP,primark,Other,Shopping,
14/01/2023,12.99,GBP,shoezone,Personal care,Clothing(Other),
14/01/2023,15.00,GBP,Argos,Housing,Miscellaneous,
14/01/2023,10.00,GBP,Reading chat,Food & Drinks,Eating out,
14/01/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
15/01/2023,6.75,GBP,wilko,Housing,Household Product,
16/01/2023,16.00,GBP,SPAR,Food & Drinks,Grocery,
16/01/2023,26.50,GBP,TV licence ,Entertainment,Subscription,
18/01/2023,2.05,GBP,coffee ,Food & Drinks,Take aways,
18/01/2023,7.89,GBP,itsu,Food & Drinks,Take aways,
20/01/2023,2.08,GBP,SPAR,Food & Drinks,Grocery,
20/01/2023,9.00,GBP,Tariq Meat,Food & Drinks,Grocery,
20/01/2023,5.00,GBP,Tesco,Other,Shopping,
20/01/2023,4.80,GBP,Tesco,Personal care,Miscellaneous,
20/01/2023,22.00,GBP,Tesco,Food & Drinks,Grocery,
20/01/2023,14.50,GBP,chaipani,Food & Drinks,Eating out,
20/01/2023,20.00,GBP,Exotic,Food & Drinks,Grocery,
20/01/2023,17.50,GBP,Amazon,Personal care,Clothing(Other),
21/01/2023,17.00,GBP,bus,Transportation,Transport_Local,
21/01/2023,4.30,GBP,bus,Transportation,Transport_Local,
21/01/2023,5.50,GBP,Greegs,Food & Drinks,Take aways,
21/01/2023,5.00,GBP,Lyca,Utility,Phone Bill,
21/01/2023,26.00,GBP,CrispyDosa,Food & Drinks,Eating out,
21/01/2023,6.00,GBP,Tiger,Other,Shopping,
21/01/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
22/01/2023,1.70,GBP,SPAR,Food & Drinks,Grocery,
24/01/2023,8.00,GBP,SPAR,Food & Drinks,Grocery,
25/01/2023,3.00,GBP,Food at office,Food & Drinks,Take aways,
26/01/2023,4.50,GBP,SPAR,Food & Drinks,Grocery,
27/01/2023,13.00,GBP,Food at office,Food & Drinks,Take aways,
27/01/2023,15.00,GBP,reading fish,Food & Drinks,Grocery,
27/01/2023,7.00,GBP,Tariq Meat,Food & Drinks,Grocery,
27/01/2023,2.00,GBP,Tesco,Housing,Household Product,
27/01/2023,33.00,GBP,Tesco,Food & Drinks,Grocery,
27/01/2023,12.70,GBP,chaipani,Food & Drinks,Eating out,
27/01/2023,14.00,GBP,Exotic,Food & Drinks,Grocery,
27/01/2023,9.00,GBP,Amazon,Entertainment,Subscription,
28/01/2023,4.60,GBP,Pharmacy ,Personal care,Miscellaneous,
28/01/2023,10.00,GBP,Sweet ,Food & Drinks,Take aways,
28/01/2023,5.00,GBP,Exotic,Food & Drinks,Take aways,
28/01/2023,13.00,GBP,Amazon,Other,Shopping,
30/01/2023,7.50,GBP,SPAR,Food & Drinks,Grocery,
31/01/2023,138.00,GBP,Bulb Energy ,Utility,Gas & Electricity,
31/01/2023,150.00,GBP,Reading council,Housing,Council Tax,
